,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,labels,trending,updated_github_id
13,Appolo Client,apollographql/apollo-client,,graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-04-17 22:52:07,2024-04-17 13:20:00,12343,115.0,2595.0,286,6274.0,485.0,4543.0,19199.0,2024-04-10 13:55:24,3.9.11,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",181602.0,181602.0,873.0,,,38,True,1,"['vue2', 'vue3']",,
14,Naive UI,tusen-ai/naive-ui,naive-ui,ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-04-18 15:29:20,2024-04-05 15:49:36,8617,91.0,1575.0,88,2893.0,290.0,2451.0,15124.0,,,,122772.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,28933.0,28933.0,299.0,https://www.npmjs.com/package/naive-ui,122772.0,38,True,2,"['vue3', 'typescript']",,
15,Ant Design Vue,vueComponent/ant-design-vue,ant-design-vue,ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-04-16 02:58:37,2024-03-23 02:40:28,5193,8.0,3655.0,301,1737.0,219.0,5306.0,19557.0,2024-01-05 11:34:20,4.1.0,,387053.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,53357.0,53357.0,270.0,https://www.npmjs.com/package/ant-design-vue,387053.0,37,True,3,['vue3'],-1.0,
16,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-04-16 00:35:39,2024-04-16 00:35:39,4736,21.0,1225.0,116,896.0,86.0,3240.0,10522.0,2024-03-10 23:15:18,4.12.6,,,100.0,Painless Vue forms.,79000.0,79000.0,371.0,,,35,True,1,,,
17,vue-router,vuejs/vue-router,vue-router,routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-04-17 15:20:22,2024-04-09 08:16:13,1459,4.0,5027.0,511,972.0,64.0,2778.0,19025.0,2022-09-06 10:10:34,3.6.5,,11553583.0,90.0,The official router for Vue 2.,3.0,3.0,290.0,https://www.npmjs.com/package/vue-router,11553583.0,34,True,3,['vue2'],,
18,URQL,urql-graphql/urql,,graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-04-18 12:27:17,2024-04-18 12:27:04,2666,48.0,437.0,89,1463.0,22.0,914.0,8476.0,2024-04-18 12:24:14,@urql/core@5.0.1,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,389353.0,389353.0,248.0,,,34,True,2,"['vue2', 'vue3']",,
19,Vuestic UI,epicmaxco/vuestic-ui,vuestic-ui,ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-04-17 07:40:41,2024-04-09 06:40:23,3470,131.0,317.0,32,1679.0,459.0,1944.0,3283.0,2024-04-02 23:57:48,1.9.8,,13549.0,53.0,Free and Open Source UI Library for Vue 3.,1409.0,1409.0,124.0,https://www.npmjs.com/package/vuestic-ui,13549.0,34,True,3,"['vue3', 'typescript']",,
20,Amplify UI,aws-amplify/amplify-ui,@aws-amplify/ui-vue,ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2024-04-18 16:59:17,2024-04-18 16:18:40,2932,116.0,242.0,56,3927.0,145.0,920.0,764.0,2024-04-17 22:24:52,@aws-amplify/ui-vue@4.2.5,,90627.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",48516.0,48516.0,114.0,https://www.npmjs.com/package/@aws-amplify/ui-vue,90627.0,34,True,3,['vue3'],,
21,vue-devtools,vuejs/devtools,,dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2024-04-14 12:34:37,2024-04-14 12:34:37,2139,52.0,4080.0,515,442.0,457.0,1130.0,24324.0,2024-02-15 18:10:48,6.6.1,102827.0,1181.0,87.0,Browser devtools extension for debugging Vue.js applications.,3.0,3.0,142.0,,,32,True,1,[],,
22,Relay,facebook/relay,,graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2024-04-18 16:27:40,2024-04-18 15:54:45,9531,193.0,1748.0,331,2440.0,521.0,1683.0,18174.0,2024-01-23 16:49:06,16.2.0,,,82.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,870.0,,,32,True,2,"['vue2', 'vue3']",,
23,CoreUI,coreui/coreui,,css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2024-04-16 09:44:16,2024-04-07 21:49:19,22290,19.0,185.0,23,576.0,1.0,138.0,714.0,2024-03-28 09:54:57,5.0.0,5517.0,78.0,87.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,32560.0,32560.0,1526.0,,,32,True,3,['bootstrap5'],,
24,vue-resource,pagekit/vue-resource,,http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483,,1594.0,259,142.0,83.0,453.0,10109.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,131119.0,131119.0,26.0,,,30,True,3,['vue2'],,
25,graphql-request,prisma-labs/graphql-request,,graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2024-04-18 16:16:48,2024-04-18 16:16:14,509,119.0,293.0,31,430.0,16.0,293.0,5641.0,2023-05-23 16:56:08,6.1.0,,,30.0,Minimal GraphQL client.,231700.0,231700.0,88.0,,,30,True,3,"['vue2', 'vue3']",,jasonkuhrt/graphql-request
26,Headless UI,tailwindlabs/headlessui,,components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2024-04-18 14:47:21,2024-04-16 15:35:46,729,41.0,994.0,167,634.0,21.0,1113.0,24144.0,2024-04-15 15:40:31,@headlessui/react@v1.7.19,,,98.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",3132.0,3132.0,59.0,,,29,True,1,['tailwind'],,
27,mdb-ui-kit,mdbootstrap/mdb-ui-kit,,dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2024-03-11 11:19:56,2024-03-11 11:17:27,1474,2.0,3460.0,777,339.0,14.0,1172.0,24005.0,2024-03-11 11:46:21,7.2.0,,,35.0,Bootstrap 5 & Material Design UI KIT.,11860.0,11860.0,119.0,,,29,True,1,['vue3'],,
28,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-04-18 03:45:23,2024-04-08 14:17:13,1991,139.0,150.0,31,278.0,75.0,815.0,4035.0,2024-04-08 14:26:10,1.6.2,,,43.0,Vue Forms Supercharged.,84.0,84.0,58.0,,,27,True,2,,,
29,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-04-14 21:25:38,2023-12-22 13:21:42,670,,495.0,80,333.0,183.0,724.0,6811.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",47132.0,47132.0,93.0,,,26,True,3,,,
30,Oruga UI,oruga-ui/oruga,@oruga-ui/oruga,ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2024-04-16 17:02:06,2024-04-16 06:24:58,1601,99.0,174.0,11,509.0,47.0,338.0,1093.0,2024-04-02 07:41:00,0.8.7,,6701.0,38.0,Oruga is a lightweight library of UI components without any CSS framework dependency.,3.0,3.0,86.0,https://www.npmjs.com/package/@oruga-ui/oruga,6701.0,26,True,3,"['vue3', 'typescript']",,
31,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,semantic-ui-vue,ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562,,147.0,34,271.0,106.0,145.0,936.0,2020-06-03 22:45:05,0.11.0,,5316.0,29.0,Semantic UI integration for Vue.,1839.0,1839.0,71.0,https://www.npmjs.com/package/semantic-ui-vue,5316.0,24,True,3,"['vue3', 'javascript']",,
32,Appolo Client integration,vuejs/apollo,,graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2024-04-09 14:44:32,2024-03-29 09:03:06,1020,12.0,496.0,109,458.0,254.0,668.0,5986.0,2024-03-08 10:56:30,4.0.2,,,91.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,137.0,,,23,True,1,"['vue2', 'vue3', 'appolo']",,
33,CoreUI Components,coreui/coreui-vue,,components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2024-03-28 15:51:11,2024-03-28 15:49:47,590,19.0,131.0,17,47.0,3.0,215.0,589.0,2024-03-28 15:51:11,5.0.0,,,98.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3472.0,3472.0,7.0,,,23,True,2,['coreui'],,
34,vuex-orm,vuex-orm/vuex-orm,,state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334,,164.0,38,257.0,128.0,415.0,2362.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,34.0,34.0,62.0,,,22,True,2,['vue3'],,
35,graphql-hooks,nearform/graphql-hooks,,graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2024-04-15 21:43:26,2024-04-11 15:47:25,782,6.0,89.0,113,926.0,,241.0,1872.0,2024-04-11 15:47:39,typescript-example@4.0.1,,,100.0,Minimal hooks-first GraphQL client.,1115.0,1115.0,89.0,,,22,True,3,"['vue2', 'vue3']",-1.0,
36,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,,admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,MIT,2017-08-15 09:29:16,2024-03-28 16:08:51,2024-03-28 16:08:07,498,4.0,935.0,122,81.0,1.0,199.0,3227.0,2024-03-28 16:08:51,5.0.0,,,62.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,11.0,,,20,True,1,"['vue3', 'bootstrap5', 'coreui']",,
37,vue-formulate,wearebraid/vue-formulate,,forms,https://github.com/wearebraid/vue-formulate,https://github.com/wearebraid/vue-formulate,MIT,2019-10-07 14:13:30,2023-05-06 23:19:06,2022-04-13 12:37:08,558,,242.0,30,126.0,113.0,339.0,2231.0,,,,,,The easiest way to build forms with Vue.,44.0,44.0,18.0,,,19,True,3,,,
38,flowbite-vue,themesberg/flowbite-vue,,components,https://github.com/themesberg/flowbite-vue,https://github.com/themesberg/flowbite-vue,MIT,2022-06-02 08:04:40,2024-03-23 04:20:11,2024-02-26 10:38:57,440,7.0,103.0,11,131.0,38.0,91.0,646.0,,,,,,Official Vue 3 components built for Flowbite and Tailwind CSS.,1667.0,1667.0,38.0,,,19,True,3,['tailwind'],,
39,villus,logaretm/villus,,graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2024-03-01 12:33:56,2024-03-01 12:33:28,636,2.0,31.0,9,72.0,14.0,124.0,785.0,2024-03-01 12:40:46,3.4.0,,,67.0,A tiny and fast GraphQL client for Vue.js.,13.0,13.0,22.0,,,18,True,3,"['vue2', 'vue3']",,
40,vuex-orm-next,vuex-orm/vuex-orm-next,,state-management,https://github.com/vuex-orm/vuex-orm-next,https://github.com/vuex-orm/vuex-orm-next,MIT,2020-04-10 03:54:39,2023-03-04 11:20:52,2021-12-03 07:26:44,214,,11.0,11,102.0,11.0,22.0,191.0,2021-11-19 00:31:46,1.0.0-draft.16,,,17.0,The next iteration of Vuex ORM.,1005.0,1005.0,9.0,,,18,True,2,['vue3'],,
41,admin-one-vue-tailwind,justboil/admin-one-vue-tailwind,,admin-dashboards,https://github.com/justboil/admin-one-vue-tailwind,https://github.com/justboil/admin-one-vue-tailwind,MIT,2021-06-14 13:48:31,2024-03-05 10:29:46,2023-10-31 04:41:59,440,,361.0,30,17.0,22.0,17.0,1962.0,2023-04-06 16:31:39,3.2.0,,,13.0,Free Vue.js 3.x Tailwind 3.x admin dashboard template with dark mode. Vite builds. Pinia state. Laravel integration..,,,3.0,,,17,True,3,"['vue3', 'tailwind', 'vite', 'pinia']",,
42,Genql,remorses/genql,,graphql-clients,https://github.com/remorses/genql,https://github.com/remorses/genql,MIT,2020-05-14 20:39:29,2024-03-30 15:58:32,2024-03-30 15:57:39,1271,17.0,32.0,8,40.0,17.0,114.0,836.0,2024-03-30 15:58:33,@genql/cli@6.3.3,,,1.0,Type safe TypeScript client for any GraphQL API.,7.0,7.0,12.0,,,17,True,3,"['vue2', 'vue3']",1.0,
43,vue-save-state,spatie/vue-save-state,vue-save-state,state-management,https://github.com/spatie/vue-save-state,https://github.com/spatie/vue-save-state,MIT,2016-10-28 13:06:41,2022-03-21 12:45:21,2022-03-21 12:45:21,58,,23.0,12,11.0,,14.0,242.0,2017-01-19 19:12:25,1.1.0,,1891.0,1.0,A Vue mixin to save the state of a component to local storage.,151.0,151.0,9.0,https://www.npmjs.com/package/vue-save-state,1891.0,17,True,3,[],,
44,vue.draggable.next,SortableJS/vue.draggable.next,,dnd,https://github.com/SortableJS/vue.draggable.next,https://github.com/SortableJS/vue.draggable.next,MIT,2020-11-18 01:28:43,2023-09-27 01:14:21,2021-08-25 03:06:16,641,,479.0,17,28.0,160.0,68.0,3451.0,2020-11-30 17:06:31,4.0.1,,,1.0,Vue 3 compatible drag-and-drop component based on Sortable.js.,,,45.0,,,16,True,2,['vue3'],,
45,vue-dragging,hilongjw/vue-dragging,,dnd,https://github.com/hilongjw/vue-dragging,https://github.com/hilongjw/vue-dragging,MIT,2016-11-16 06:39:22,2018-12-12 14:05:44,2018-12-12 14:05:35,57,,141.0,23,7.0,24.0,4.0,767.0,,,,,,A sortable list directive with Vue.,1280.0,1280.0,10.0,,,16,False,2,['vue2'],,
46,harlem,andrewcourtice/harlem,harlem,state-management,https://github.com/andrewcourtice/harlem,https://github.com/andrewcourtice/harlem,MIT,2020-10-01 23:52:49,2023-09-09 12:02:12,2023-04-26 22:35:18,525,,16.0,6,58.0,3.0,13.0,511.0,2023-03-20 23:34:42,3.1.8,,215.0,63.0,Powerfully simple global state management for Vue 3.,12.0,12.0,10.0,https://www.npmjs.com/package/harlem,215.0,16,True,3,['vue3'],1.0,
47,vorms,Mini-ghost/vorms,,forms,https://github.com/Mini-ghost/vorms,https://github.com/Mini-ghost/vorms,MIT,2022-04-27 16:26:30,2024-03-04 01:54:03,2024-03-04 01:53:07,201,7.0,17.0,6,33.0,8.0,10.0,491.0,2023-02-25 09:28:18,1.1.0,,,10.0,Vue Form Validation with Composition API.,48.0,48.0,6.0,,,16,True,3,,,
48,AgnosticUI,AgnosticUI/agnosticui,agnosticui,ui-frameworks,https://github.com/AgnosticUI/agnosticui,https://github.com/AgnosticUI/agnosticui,Apache-2.0,2020-09-07 21:03:08,2023-12-29 12:37:44,2023-01-23 23:36:07,1914,,45.0,5,60.0,38.0,149.0,701.0,,,,,16.0,AgnosticUI is a set of UI primitives that start their lives in clean HTML and CSS. These standards compliant..,,,12.0,https://www.npmjs.com/package/agnosticui,,15,True,3,['vue3'],,
49,Vuex ORM integration,vuex-orm/plugin-graphql,,graphql-integrations,https://github.com/vuex-orm/plugin-graphql,https://github.com/vuex-orm/plugin-graphql,MIT,2018-01-30 15:59:22,2022-12-14 15:16:51,2020-11-18 15:11:03,355,,51.0,10,93.0,44.0,71.0,227.0,2018-06-07 12:43:48,0.0.41,,,65.0,Vuex ORM persistence plugin to sync the store against a GraphQL API.,3.0,3.0,18.0,,,15,True,3,"['vue2', 'vue3', 'vuex-orm']",,
50,vue-route,ayamflow/vue-route,vue-route,routing,https://github.com/ayamflow/vue-route,https://github.com/ayamflow/vue-route,,2014-11-05 08:42:52,2016-11-04 21:00:45,2016-11-04 21:00:45,66,,8.0,9,9.0,2.0,17.0,75.0,2015-06-26 16:49:13,.1.5.0,,2912.0,9.0,"Routing directive for Vue.js, inspired by ng-view.",1240.0,1240.0,4.0,https://www.npmjs.com/package/vue-route,2912.0,15,False,3,['vue2'],,
51,vue-js-grid,euvl/vue-js-grid,,dnd,https://github.com/euvl/vue-js-grid,https://github.com/euvl/vue-js-grid,MIT,2017-09-21 14:51:06,2022-08-18 01:13:29,2020-05-17 06:21:53,48,,107.0,24,15.0,16.0,15.0,953.0,,,,,,"Vue.js 2.x responsive grid system with smooth sorting, drag-n-drop and reordering.",160.0,160.0,8.0,,,14,True,3,['vue2'],,
52,vue-argon-dashboard,creativetimofficial/vue-argon-dashboard,,admin-dashboards,https://github.com/creativetimofficial/vue-argon-dashboard,https://github.com/creativetimofficial/vue-argon-dashboard,MIT,2019-04-08 12:17:09,2024-02-27 10:56:13,2024-02-27 10:55:41,18,3.0,665.0,13,42.0,5.0,45.0,373.0,2024-02-27 10:56:13,4.0.0,,,5.0,Vue Argon Dashboard.,,,2.0,,,14,True,3,"['vue3', 'bootstrap5']",,
53,Vue Chimera,chimera-js/vue-chimera,,http-integrations,https://github.com/chimera-js/vue-chimera,https://github.com/chimera-js/vue-chimera,MIT,2018-08-02 13:06:12,2022-12-10 17:10:26,2020-03-20 19:50:38,176,,18.0,7,40.0,2.0,12.0,169.0,2020-03-20 15:47:54,3.0.2,,,7.0,VueJS reactive RESTful API.,26.0,26.0,2.0,,,13,True,1,"['vue2', 'vue3', 'axios']",,
54,Storybook for Nuxt framework,storybook-vue/nuxt,,dev-tools,https://github.com/storybook-vue/storybook-nuxt,https://github.com/storybook-vue/storybook-nuxt,,2023-07-23 03:19:03,2024-04-17 11:36:09,2024-04-17 11:36:09,382,35.0,16.0,12,45.0,37.0,16.0,133.0,2024-03-29 13:20:44,0.2.6,,,10.0,Storybook integration for Nuxt Framework - Unleashing the power of Storybook in Nuxt/Vue Land!.,5.0,5.0,7.0,,,13,True,3,[],,storybook-vue/storybook-nuxt
55,vue-stator,galvez/vue-stator,vue-stator,state-management,https://github.com/galvez/vue-stator,https://github.com/galvez/vue-stator,,2019-10-06 17:56:39,2023-01-04 22:35:09,2021-01-26 01:25:08,123,,3.0,6,38.0,4.0,6.0,167.0,2019-11-22 17:42:00,1.2.0,,54.0,3.0,Vuex alternative based on Vue.observable().,6.0,6.0,4.0,https://www.npmjs.com/package/vue-stator,54.0,11,True,3,[],,
56,tailwindui-vue,tailwindlabs/tailwindui-vue,,components,https://github.com/tailwindlabs/tailwindui-vue,https://github.com/tailwindlabs/tailwindui-vue,,2020-05-29 17:04:32,2020-10-02 21:51:16,2020-10-02 21:50:05,9,,28.0,60,9.0,,7.0,649.0,,,,,,"Deprecated, please use the Headless UI repo instead.",20.0,20.0,4.0,,,10,True,3,['tailwind'],,
57,vue3-draggable,shkilo/vue3-draggable,,dnd,https://github.com/shkilo/vue3-draggable,https://github.com/shkilo/vue3-draggable,MIT,2020-12-27 13:50:23,2023-01-11 17:43:22,2021-06-07 12:33:47,72,,17.0,1,6.0,8.0,1.0,33.0,,,,,,simple drag&drop component for vue 3.x.,295.0,295.0,,,,10,True,3,['vue3'],,
58,vue-redux,yang-wei/vue-redux,vue-redux,state-management,https://github.com/yang-wei/vue-redux,https://github.com/yang-wei/vue-redux,,2015-07-11 07:22:47,2017-07-15 04:36:28,2016-02-07 03:02:14,61,,12.0,3,17.0,,8.0,142.0,2015-07-26 09:31:05,0.0.1,,7.0,1.0,What happen when Vue.js + Redux.,14.0,14.0,6.0,https://www.npmjs.com/package/vue-redux,7.0,9,False,3,[],,
59,Relay client integration,vue-relay/vue-relay,,graphql-integrations,https://github.com/vue-relay/vue-relay,https://github.com/vue-relay/vue-relay,BSD-2-Clause,2018-02-19 09:37:01,2021-10-29 20:57:48,2021-08-12 02:14:10,45,,10.0,8,13.0,4.0,4.0,119.0,,,,,,A framework for building GraphQL-driven Vue.js applications.,14.0,14.0,2.0,,,9,True,3,"['vue2', 'vue3', 'relay']",,
